Date,Mass_Gt,Mass,
16/04/2002,0,134.71,
08/05/2002,63.95,70.85,
15/08/2002,-215.57,53.55,
17/09/2002,-235.55,65.24,
16/10/2002,-201.92,39.23,
14/11/2002,-204,35.96,
17/12/2002,-182.74,36.9,
15/01/2003,-133.45,41.64,
13/02/2003,-146.34,29.91,
15/03/2003,-80.33,26.07,
16/04/2003,-35.26,25.91,
12/05/2003,-30.59,28.36,
17/07/2003,-205.52,21.35,
15/08/2003,-342.11,22.11,
17/09/2003,-384.83,22.42,
16/10/2003,-381.6,22.85,
14/11/2003,-382.66,22.59,
17/12/2003,-344.78,22.43,
08/01/2004,-367.2,26.06,
17/02/2004,-372.04,22.62,
17/03/2004,-352.48,21.16,
16/04/2004,-293.52,21.2,
15/05/2004,-312.53,21.45,
17/06/2004,-329.17,21.32,
16/07/2004,-426.31,19.19,
14/08/2004,-548.97,19.97,
16/09/2004,-589.65,20.94,
16/10/2004,-608.21,18.9,
14/11/2004,-567.89,20.65,
17/12/2004,-543.99,20.66,
15/01/2005,-555.32,19.66,
13/02/2005,-532.35,20.57,
15/03/2005,-486.59,20.63,
16/04/2005,-480.97,20.45,
16/05/2005,-446.13,20.67,
17/06/2005,-490.37,21.02,
17/07/2005,-617.13,20.2,
15/08/2005,-804.47,19.98,
17/09/2005,-870.19,19.83,
16/10/2005,-862.45,19.61,
14/11/2005,-861.03,19.1,
17/12/2005,-811.87,23.66,
15/01/2006,-832.4,20.52,
13/02/2006,-783,20.65,
15/03/2006,-762.38,20.37,
16/04/2006,-791.29,20.77,
16/05/2006,-781.92,20.53,
14/06/2006,-793.26,22.31,
17/07/2006,-874.86,22.17,
15/08/2006,-1002.95,20.64,
17/09/2006,-1061,21.89,
16/10/2006,-1048.62,21.51,
14/11/2006,-1077.74,20.97,
17/12/2006,-1089.12,21.52,
15/01/2007,-1055.55,22.2,
13/02/2007,-1010.39,21.6,
15/03/2007,-1018.77,20.92,
16/04/2007,-1008.41,21.45,
16/05/2007,-998.27,21.08,
14/06/2007,-1016.49,21.34,
17/07/2007,-1145.45,21.13,
15/08/2007,-1341.38,22.65,
17/09/2007,-1404.13,22.21,
16/10/2007,-1425.91,22.93,
14/11/2007,-1406.6,23.76,
17/12/2007,-1346.43,22.52,
15/01/2008,-1306.29,22.61,
13/02/2008,-1324.15,24.23,
17/03/2008,-1274.87,22.61,
16/04/2008,-1295.58,24.49,
15/05/2008,-1309.28,23.37,
17/06/2008,-1311.58,22.35,
16/07/2008,-1458.16,23.18,
14/08/2008,-1619.23,22.62,
16/09/2008,-1682.94,22.45,
16/10/2008,-1669.4,22.3,
14/11/2008,-1598.63,23.83,
17/12/2008,-1526.92,23.2,
15/01/2009,-1505.57,23.07,
13/02/2009,-1550.43,23.57,
15/03/2009,-1551.18,23.06,
16/04/2009,-1533.57,21.1,
16/05/2009,-1517.26,20.91,
17/06/2009,-1523.36,20.57,
17/07/2009,-1633.23,22.02,
15/08/2009,-1841.58,20.97,
17/09/2009,-1894.76,20.09,
16/10/2009,-1866.95,20.7,
14/11/2009,-1846.92,20.6,
17/12/2009,-1822.76,20.35,
